model,group,negative_FPR_gap,negative_FPR_gap_width,positive_FPR_gap,positive_FPR_gap_width
,,,,,
Llama-2-13B,african_american,0.044722222222031,0.010263535928350663,0.04999999999961526,0.005612004879304718
Llama-2-13B,american_indian,-0.06861111111121758,0.009042941964991533,0.019999999999423607,0.008148498308947467
Llama-2-13B,asian,-0.010277777777381448,0.012000956108977645,-0.024999999999284716,0.007842646158347321
Llama-2-13B,hispanic,0.00472222222213099,0.009345195008802534,0.002499999999734037,0.015239582557983656
Llama-2-13B,pacific_islander,-0.050277777777731514,0.006479232017034744,-0.02250000000020347,0.007450140855395509
Llama-2-13B,white,0.07972222222216852,0.01518965849869873,-0.02499999999928472,0.021015837649113293
Llama-2-7B,african_american,0.028333333333255516,0.009094015125926273,-1.8402362966796203e-13,0.015266303772093842
Llama-2-7B,american_indian,-0.08416666666662151,0.036650049264933794,0.08249999999952638,0.04013408698709082
Llama-2-7B,asian,0.015833333333511803,0.045131456140386106,-0.042499999999515245,0.04697391448437688
Llama-2-7B,hispanic,-0.011666666666644432,0.007917877100450724,0.009999999999790971,0.009678256143344112
Llama-2-7B,pacific_islander,-0.0641666666665132,0.0767232146525898,0.017499999999772243,0.0592488399113771
Llama-2-7B,white,0.1158333333330118,0.06479003266911242,-0.06749999999939024,0.0335573932533912
OPT-1.3B,african_american,-0.0037500000002524264,0.004881059070959609,0.06055555555516294,0.014413646118987721
OPT-1.3B,american_indian,-0.008750000000594092,0.01137647901114703,-0.03277777777825231,0.006138596021156934
OPT-1.3B,asian,0.0012500000007725665,0.010288775647273426,0.04555555555595048,0.00889004593158777
OPT-1.3B,hispanic,-0.016250000000221178,0.004141894881546422,0.023055555555256714,0.0075954390553922
OPT-1.3B,pacific_islander,-0.03375000000017743,0.0058162620574386415,-0.03694444444459327,0.007372650284803087
OPT-1.3B,white,0.06125000000047256,0.009618732527274056,-0.059444444443524536,0.012873837595820326
OPT-13B,african_american,0.005138888888596647,0.011713466319124686,0.009027777777479744,0.019999535102557364
OPT-13B,american_indian,0.004305555554929286,0.010396251847147157,0.022361111110520016,0.009733609997298649
OPT-13B,asian,0.0326388888894654,0.010794906920921941,0.00902777777829224,0.023735686069804036
OPT-13B,hispanic,-0.00986111111136585,0.00724591945616143,-0.0084722222224765,0.008708984115299849
OPT-13B,pacific_islander,-0.009861111111365848,0.015787715473588784,0.07402777777731721,0.01950999783265717
OPT-13B,white,-0.022361111110259603,0.018955152154659184,-0.10597222222113274,0.011854957420043086
OPT-6.7B,african_american,-0.0002777777779807866,0.014549252770235683,0.01916666666635138,0.0066902453404787164
OPT-6.7B,american_indian,-0.031111111111564817,0.009265558320309392,0.009166666666105544,0.014420071317090239
OPT-6.7B,asian,0.04222222222271295,0.007976157565257472,-0.015833333332686113,0.013789607376711394
OPT-6.7B,hispanic,-0.04527777777786828,0.007322221168412672,0.026666666666332627,0.008452050667945254
OPT-6.7B,pacific_islander,-0.027777777777912037,0.00881050071442579,0.026666666666332627,0.004975042651337818
OPT-6.7B,white,0.062222222222612956,0.01147377108181861,-0.0658333333324361,0.01560476937218405
Llama-3-8B,african_american,-0.009166666666936107,0.006001249869789642,0.022222222221879633,0.008956483443793385
Llama-3-8B,american_indian,-0.004166666667319442,0.0057747053796644715,0.051388888888245596,0.012962752313116619
Llama-3-8B,asian,-0.009166666665811112,0.006001249869789642,-0.02027777777715161,0.007716431681925806
Llama-3-8B,hispanic,-0.009166666666936107,0.006001249869789642,0.004722222221923378,0.006287685151777376
Llama-3-8B,pacific_islander,-0.009166666666936107,0.006001249869789642,0.052222222221804615,0.004781356863556781
Llama-3-8B,white,0.04083333333393889,0.02868814118126478,-0.11027777777670163,0.015479609746415598
Mistral-7B,african_american,0.022083333333001044,0.003055686865842473,0.011944444444191193,0.0060012498698028445
Mistral-7B,american_indian,-0.022916666667261453,0.008565272260018278,0.03777777777732526,0.011137848385858583
Mistral-7B,asian,0.012083333334063535,0.011721371743703244,-0.04055555555507752,0.007573455104618496
Mistral-7B,hispanic,-0.015416666666905204,0.0030556868658424695,0.014444444444184945,0.007025232301400567
Mistral-7B,pacific_islander,-0.022916666666886458,0.008565272260018278,0.12694444444390374,0.005417153824232065
Mistral-7B,white,0.02708333333398854,0.013907332198766165,-0.15055555555452754,0.00871961390580217
OPT-125M,african_american,0.013888888888600459,0.01715756006205354,-0.01791666666678577,0.03234579680546508
OPT-125M,american_indian,-0.01944444444497731,0.011966945859735168,0.044583333332928826,0.021406258098951924
OPT-125M,asian,-0.01111111111037453,0.01791813732102818,0.03958333333347048,0.02236119565180099
OPT-125M,hispanic,-0.01611111111132455,0.013178198770605238,0.0045833333331579875,0.040055999188429225
OPT-125M,pacific_islander,0.013888888888600454,0.03955895643144869,0.014583333333132978,0.04431665743864216
OPT-125M,white,0.018888888889475465,0.0438679164025145,-0.0854166666659045,0.044504378859224134
OPT-350M,african_american,-0.023472222222339703,0.040467369303960894,0.015138888888620253,0.047583245280906364
OPT-350M,american_indian,-0.020138888889282745,0.04301843292107573,0.029305555555036243,0.0197497175319219
OPT-350M,asian,0.006527777778322802,0.05201973643116521,-0.00736111111058598,0.07136766470015696
OPT-350M,hispanic,-0.015972222222358452,0.03159126866977133,-0.02486111111127974,0.029044337913027723
OPT-350M,pacific_islander,-0.013472222222364705,0.0562397539363839,0.04513888888854527,0.04180849472868298
OPT-350M,white,0.0665277777780228,0.038955846523865835,-0.05736111111033597,0.024044327312881295
RoBERTa-125M,african_american,-0.002083333333575349,0.01628221166381961,0.004583333333232287,0.01857106304752122
RoBERTa-125M,american_indian,-0.024583333333873265,0.025415264988578216,0.04458333333311978,0.022242404723780432
RoBERTa-125M,asian,-0.029583333332431606,0.020145364093025447,0.014583333333319792,0.022232407388051743
RoBERTa-125M,hispanic,-0.014583333333544096,0.02426063626985985,0.00958333333321979,0.02899006907432884
RoBERTa-125M,pacific_islander,-0.024583333333519097,0.023998052582935532,0.04208333333313855,0.029355856777734435
RoBERTa-125M,white,0.0954166666669434,0.07062396213557212,-0.11541666666603019,0.04984417880220633
RoBERTa-355M,african_american,-0.01305555555567132,0.007347478991507503,0.006805555555393167,0.01018016484023126
RoBERTa-355M,american_indian,-0.032222222222549786,0.012239409001703004,0.03097222222189665,0.014511002105455023
RoBERTa-355M,asian,-0.04555555555477756,0.01963305468882471,0.029305555555649437,0.01266199170523437
RoBERTa-355M,hispanic,-0.02555555555564007,0.023184481226690395,0.004305555555399436,0.026087213354674187
RoBERTa-355M,pacific_islander,-0.028055555555633816,0.017571517444541603,0.03930555555531193,0.022475237745774458
RoBERTa-355M,white,0.14444444444427246,0.06139652227518652,-0.11069444444365058,0.06074369130982807
