model,group,negative_FPR_gap,negative_FPR_gap_width,positive_FPR_gap,positive_FPR_gap_width
,,,,,
Llama-2-13B,african_american,0.15678178178175178,0.005003130733270499,-0.07832207207206303,0.006749659760376177
Llama-2-13B,american_indian,0.00010010010007558413,0.002893699042064883,0.07179054054053835,0.004137128100143771
Llama-2-13B,asian,-0.06889389389385418,0.0041133721747137544,0.0681869369369128,0.00310518640310219
Llama-2-13B,hispanic,0.0003628628628504771,0.0017266075182623159,0.0199887387387367,0.00167818366382147
Llama-2-13B,pacific_islander,-0.0406281281281359,0.002966061027654226,0.08485360360359426,0.002705045049563591
Llama-2-13B,white,-0.04772272272268778,0.0035500572871183505,-0.16649774774771903,0.008612910361342256
Llama-2-7B,african_american,0.06696696696695123,0.05178438575810268,-0.02124624624624215,0.021126221375603146
Llama-2-7B,american_indian,-0.046208708708723165,0.032411970588821434,0.027289789789792084,0.017773858346300263
Llama-2-7B,asian,-0.040352852852822745,0.028040404979623863,0.05364114114112284,0.03526368133270505
Llama-2-7B,hispanic,0.011223723723714277,0.009093904014857867,0.007469969969970841,0.008735762491634484
Llama-2-7B,pacific_islander,-0.01276276276276952,0.05345326034390644,0.0030780780780794324,0.04613690882718962
Llama-2-7B,white,0.021133633633649878,0.019563781354899945,-0.07023273273272312,0.040104634656130955
OPT-1.3B,african_american,0.06186811811809685,0.013184988588037523,0.08861986986985476,0.008644090418271824
OPT-1.3B,american_indian,0.009127877877846153,0.009095887937390535,-0.04884259259259878,0.009576163448432241
OPT-1.3B,asian,-0.009866116116077971,0.0027551641544763224,0.07172797797797087,0.006504578247127762
OPT-1.3B,hispanic,-0.017298548548560895,0.005086474479984997,0.032200950950942234,0.007465155089396053
OPT-1.3B,pacific_islander,-0.03824449449450449,0.011270773493416809,0.007989239239233215,0.010730821237425945
OPT-1.3B,white,-0.005586836836799655,0.0037169827623690387,-0.15169544544540225,0.019695561896858407
OPT-13B,african_american,0.008289539539523659,0.004646450939093228,0.014502002001996894,0.011053744204128758
OPT-13B,american_indian,-0.003722472472505238,0.002956769374508031,0.006544044044037333,0.011722834955235302
OPT-13B,asian,0.00919044044047772,0.004730730879656328,0.07936686686685375,0.025806056932721696
OPT-13B,hispanic,-0.004773523523537932,0.003995155321080421,-0.013313313313315289,0.007285646624980209
OPT-13B,pacific_islander,-0.005787037037051332,0.003001813322695376,0.054029029029019446,0.021095612315698856
OPT-13B,white,-0.0031969469469068775,0.002499772766703415,-0.14112862862859213,0.013817298089856428
OPT-6.7B,african_american,0.03204454454452751,0.010169301173840815,0.03670545545544609,0.010511673682299487
OPT-6.7B,american_indian,-0.01337587587590514,0.004749414949129269,-0.024293043043050445,0.012036030378921411
OPT-6.7B,asian,0.028215715715746492,0.005663552527775329,0.008439689689694474,0.010141665593101852
OPT-6.7B,hispanic,-0.026851851851862247,0.006936382525163908,0.05337212212211088,0.009080728882262919
OPT-6.7B,pacific_islander,-0.020545545545556647,0.006703022970802745,0.04503878878877847,0.007801810761953369
OPT-6.7B,white,0.0005130130130500315,0.006818815707678699,-0.11926301301297948,0.017710296281483573
Llama-3-8B,african_american,-0.0006193693693845457,0.0002936549403035615,0.012287287287296111,0.0043997178128127755
Llama-3-8B,american_indian,-0.0007319819820155165,0.00042592610971717857,0.0169419419419643,0.006289136079839586
Llama-3-8B,asian,0.0010698198198593654,0.0003465038470451504,-0.01338838838841543,0.005183580397339917
Llama-3-8B,hispanic,0.00016891891890365371,0.0005465311062087737,-0.006068568568557686,0.004341040011435554
Llama-3-8B,pacific_islander,-0.0007319819819971457,0.00021986752571945216,0.02388638638639391,0.008307322951700254
Llama-3-8B,white,0.0008445945946341908,0.0001829092243789905,-0.03365865865868114,0.012359225927387486
Mistral-7B,african_american,-0.0011699199199349153,0.0010188752010151026,0.0066066066066157395,0.005215117218625081
Mistral-7B,american_indian,-6.2562562896027045e-06,0.0005225508067468016,0.016629129129151397,0.008846536001789586
Mistral-7B,asian,0.0018706206206597377,0.0015929617908178066,-0.04575825825827893,0.01274557908025489
Mistral-7B,hispanic,0.00040665665664148324,0.0006112710064564479,0.006606606606615761,0.0022217547644870516
Mistral-7B,pacific_islander,-0.002296046046060914,0.00033334413600314143,0.04365615615616114,0.007602914097236317
Mistral-7B,white,0.001194944944984214,0.0006425706234454169,-0.027740240240264957,0.008735805522425415
OPT-125M,african_american,0.0054992492492354885,0.0028306576557677794,-0.006969469469461443,0.004361747187447038
OPT-125M,american_indian,-0.007451201201230086,0.005943953766091297,0.04092842842844371,0.024713551488638897
OPT-125M,asian,0.014395645645678181,0.018625559008826436,-0.012374874874898046,0.015322720971069142
OPT-125M,hispanic,-0.0073385885886009024,0.005782427060299146,0.008345845845852162,0.008267084080932009
OPT-125M,pacific_islander,-0.012068318318330102,0.0055566248976493034,0.04933683683683854,0.03801658472353333
OPT-125M,white,0.0069632132132474295,0.02195567046712683,-0.07926676676677485,0.05018733626607953
OPT-350M,african_american,-0.015934684684686378,0.01966089045592345,0.023711211211207266,0.017998530419965242
OPT-350M,american_indian,-0.038344594594601975,0.06347387873200781,0.053290790790786934,0.03974821627685999
OPT-350M,asian,0.025394144144155327,0.052123325142031975,-0.02493743743743726,0.03482118373564764
OPT-350M,hispanic,-0.0016328828828861704,0.03830854862535661,-0.031581581581579296,0.023333594943892637
OPT-350M,pacific_islander,-0.04825450450450254,0.046866314230864646,0.06661661661660782,0.0337179024438319
OPT-350M,white,0.07877252252252165,0.032600760718429635,-0.08709959959958546,0.04502216376889787
RoBERTa-125M,african_american,0.01500250250249146,0.012952913836783745,-0.018168168168157584,0.014776132875223703
RoBERTa-125M,american_indian,-0.058571071071089456,0.033442876208154976,0.06426426426428071,0.03305947522742264
RoBERTa-125M,asian,-0.012249749749716052,0.021455556787351462,0.013813813813781084,0.023892032328274804
RoBERTa-125M,hispanic,0.013763763763752873,0.011015409347111293,-0.011974474474464581,0.014450159108619066
RoBERTa-125M,pacific_islander,-0.0486236236236275,0.017173161491002696,0.0553678678678702,0.016329747240591934
RoBERTa-125M,white,0.09067817817818868,0.03391669701292785,-0.10330330330330965,0.0421921423120501
RoBERTa-355M,african_american,0.013626126126122629,0.022447188915415937,-0.013676176176172644,0.022536677005924845
RoBERTa-355M,american_indian,-0.028603603603607704,0.019256823911177882,0.027840340340344476,0.018075298316395257
RoBERTa-355M,asian,-0.010135135135121973,0.028808057673253534,0.011098598598585372,0.02753252274722219
RoBERTa-355M,hispanic,-0.007882882882883958,0.022722041455817805,0.008170670670671721,0.0223813698322544
RoBERTa-355M,pacific_islander,-0.05236486486486093,0.03927356813694073,0.05073823823823449,0.03677917317774359
RoBERTa-355M,white,0.08536036036035202,0.0663371286731932,-0.08417167167166345,0.0666410194177535
