model,group,negative_FPR_gap,negative_FPR_gap_width,positive_FPR_gap,positive_FPR_gap_width
,,,,,
Llama-2-13B,african_american,0.07329434697844765,0.029182773957068725,-0.03156565656577989,0.009964081726106496
Llama-2-13B,american_indian,-0.005068226120776354,0.010002368159617704,0.03358585858545136,0.0029674046521205454
Llama-2-13B,asian,-0.13723196881058589,0.026622577205348052,0.05176767676795517,0.01760572142335282
Llama-2-13B,hispanic,0.10838206627663169,0.008363019749314388,-0.020959595959735355,0.005627594862880144
Llama-2-13B,pacific_islander,-0.0775828460037438,0.012237309086416133,0.018434343434144344,0.005627594862880542
Llama-2-13B,white,0.038206627680026625,0.014361194912179588,-0.051262626262035635,0.005405559537663557
Llama-2-7B,african_american,0.071637426900446,0.035143088757811025,-0.06346801346798252,0.06256996048131226
Llama-2-7B,american_indian,-0.04766081871343005,0.02679473865116187,0.06127946127926751,0.04783772147648639
Llama-2-7B,asian,-0.01959064327473102,0.010710640508644802,0.00471380471392519,0.012679039417707356
Llama-2-7B,hispanic,-0.014327485380104945,0.02035332358915354,0.009259259259180017,0.013484283102316733
Llama-2-7B,pacific_islander,-0.012573099415195752,0.047204323288477366,0.010774410774329238,0.057981431500812475
Llama-2-7B,white,0.022514619883015972,0.033462713811418715,-0.022558922558719448,0.046028233302471126
OPT-1.3B,african_american,0.059551656919764814,0.016060991111383514,0.004208754208543346,0.00787351797912177
OPT-1.3B,american_indian,0.002241715399147548,0.03204093312273779,-0.005892255892698364,0.006384443474556122
OPT-1.3B,asian,0.006920077973230504,0.024652528597759592,0.007239057239562627,0.0037386073433332222
OPT-1.3B,hispanic,-0.008869395711694084,0.004265218575144432,-0.0003367003369043116,0.0035710376440137256
OPT-1.3B,pacific_islander,-0.056237816764242554,0.024996523740945575,0.008754208753991006,0.005468140454805154
OPT-1.3B,white,-0.0036062378162062454,0.028782995357497308,-0.013973063972494305,0.009610888912250669
OPT-13B,african_american,0.01510721247544281,0.008686232899427075,0.018181818181583258,0.008234296376555173
OPT-13B,american_indian,-0.03167641325570898,0.016541197526300188,-0.003030303030753749,0.007231082444698941
OPT-13B,asian,0.06773879142326367,0.030914037594439402,-0.012121212120643557,0.00808417508416013
OPT-13B,hispanic,-0.02348927875255965,0.0077680284986401445,-0.009090909091102693,0.004104733400170008
OPT-13B,pacific_islander,-0.01822612085783204,0.010020594064221719,0.003030303030091063,0.00908306869785302
OPT-13B,white,-0.009454191032605811,0.011824781527172973,0.0030303030308256804,0.00728732712753397
OPT-6.7B,african_american,-0.007504873294512276,0.014970832064056588,0.0010942760940659548,0.003553846135340378
OPT-6.7B,american_indian,0.0006822612081692575,0.009516250165318691,-0.0009259259263834899,0.0026138249035965815
OPT-6.7B,asian,0.013547758285059908,0.010879668473968734,0.0010942760948143462,0.004863506704875567
OPT-6.7B,hispanic,-0.04961013645233313,0.012495524165484228,-0.000420875421083265,0.0025020935808640803
OPT-6.7B,pacific_islander,0.01530214424930736,0.00937133889641982,0.0010942760940659546,0.0033771211617192993
OPT-6.7B,white,0.02758284600430891,0.012972683336112662,-0.0019360269354795011,0.0025505778345132246
Llama-3-8B,african_american,0.0007797270953051577,0.004996164870950135,-0.011026936027074496,0.0037567648437674983
Llama-3-8B,american_indian,0.00487329434651204,0.00820553487835977,0.0036195286191924914,0.008447234716416816
Llama-3-8B,asian,-0.0009746588688499674,0.002865497076019371,-0.0004208754204973575,0.005613065764140156
Llama-3-8B,hispanic,-0.0027290448345132475,0.0022923976608146906,0.019276094275909893,0.016322914406367448
Llama-3-8B,pacific_islander,-0.0009746588696040448,0.002865497076019371,0.016245791245611464,0.007417823637514152
Llama-3-8B,white,-0.0009746588688499674,0.002865497076019371,-0.027693602693141972,0.009294132979624137
Mistral-7B,african_american,-0.007894736842305324,0.0026573526682945182,0.009343434343280905,0.0038989819030625533
Mistral-7B,american_indian,-0.0008771929829301236,0.0026573526682938673,0.018434343434038537,0.008859304085108474
Mistral-7B,asian,0.027192982456614334,0.007505195810871104,-0.03308080808040596,0.005168741142692725
Mistral-7B,hispanic,-0.002631578947577716,0.007763329146455313,0.007828282828131684,0.010488440583202314
Mistral-7B,pacific_islander,-0.0008771929826685135,0.0026573526682938673,0.02449494949477311,0.0064922500075830555
Mistral-7B,white,-0.014912280701132657,0.007100421906114659,-0.02702020201981827,0.00694792668531379
OPT-125M,african_american,0.0010721247561825437,0.009297055105382538,-0.01700336700346077,0.020757085310684452
OPT-125M,american_indian,-0.0053606237820144915,0.02644446556708289,0.05622895622867905,0.03200163102783616
OPT-125M,asian,0.030896686160165294,0.025534564335404852,-0.03670033670004254,0.030876986106886776
OPT-125M,hispanic,-0.021734892787637093,0.018835421826219344,0.019360269360120492,0.015673400673409617
OPT-125M,pacific_islander,-0.00769980506836348,0.029769007236065282,0.06329966329944783,0.08128899851702784
OPT-125M,white,0.0028265107216672997,0.04153751921785793,-0.08518518518474409,0.07203815666116103
OPT-350M,african_american,0.014230019493137985,0.029105765333509805,0.013047138046923224,0.0425947424963251
OPT-350M,american_indian,-0.04483430799221816,0.02409025586495761,0.06355218855173143,0.02920947611641564
OPT-350M,asian,0.008966861598555037,0.02102796782849245,-0.023316498316029034,0.03963340681529824
OPT-350M,hispanic,0.00019493177386436522,0.015013430347099302,-0.026346801346956474,0.019310079578433132
OPT-350M,pacific_islander,-0.05769980506813932,0.03006056821299113,0.047895622895355275,0.04462817484704127
OPT-350M,white,0.07914230019480004,0.02141489150063571,-0.07483164983102443,0.047782781869753814
RoBERTa-125M,african_american,0.01530214424935832,0.005647606467493313,-0.037626262626305085,0.01539435271524038
RoBERTa-125M,american_indian,-0.03615984405484635,0.022648507334884656,0.05025252525228078,0.014308425962344088
RoBERTa-125M,asian,0.0012670565306233228,0.009008989941514993,0.004797979798148502,0.027255448552224126
RoBERTa-125M,hispanic,-0.005750487329552109,0.021558832374305587,-0.002777777777873039,0.01402017189985377
RoBERTa-125M,pacific_islander,-0.039083820662826965,0.023803372967967345,0.05631313131294653,0.02726892738624216
RoBERTa-125M,white,0.06442495126724382,0.04703296389310114,-0.07095959595919768,0.026434144119452895
RoBERTa-355M,african_american,-0.006140350877178957,0.023083807658444998,-0.013047138047263759,0.020077847903071
RoBERTa-355M,american_indian,-0.05350877192981464,0.020493591333382962,0.04705387205353643,0.047687270096374836
RoBERTa-355M,asian,-0.01842105263134333,0.029863862929987574,0.009680134680387757,0.021492184091611532
RoBERTa-355M,hispanic,0.0008771929824578417,0.018351614125460616,-0.02213804713815907,0.019179248578865247
RoBERTa-355M,pacific_islander,-0.0938596491226391,0.05215642006949321,0.0778619528616894,0.06542991874356875
RoBERTa-355M,white,0.1710526315785182,0.07895760360084839,-0.09941077441019075,0.10007231998149363
